1;app1n;Estilo de vida;820.0885146085134;44390
2;app2k;Fotografía;693.4707925761102;49006
3;app3k;Vídeo;237.48508864236402;13843
4;app4n;Vídeo;227.1744419883688;27846
5;app5j;Educación;468.3972955346715;1984
6;app6e;Educación;637.0710717503202;9440
7;app7f;Juegos;668.4693477336247;36015
8;app8p;Cocina;965.9022176313368;16144
9;app9t;Finanazas;997.5381957681905;25791
10;app10e;Vídeo;658.8431649486525;6300
11;app11o;Vídeo;635.221753454814;674
12;app12y;Cocina;458.1405160757419;24862
13;app13a;Estilo de vida;480.6008801685462;43431
14;app14p;Vídeo;418.314644254376;16794
15;app15q;Productividad;963.127776603871;40479
16;app16p;Productividad;386.2596727028066;18641
17;app17f;Fotografía;959.3664406021878;31733
18;app18a;Estilo de vida;154.21674115323668;32582
19;app19y;Música;541.7319371251261;16151
20;app20s;Productividad;841.74761723346;18074
21;app21k;Cocina;102.79984997131821;36887
22;app22d;Finanazas;910.2924616420271;30621
23;app23b;Fotografía;468.63268346459523;37402
24;app24o;Vídeo;400.58595666547797;31003
25;app25c;Cocina;782.4873376515624;14279
26;app26b;Vídeo;261.58668568169344;11579
27;app27c;Vídeo;605.7026384664273;26094
28;app28q;Finanazas;364.42155465628076;7794
29;app29q;Fotografía;469.3164879742771;48779
30;app30g;Juegos;845.9199559322964;42638
31;app31j;Juegos;307.1704475363763;35887
32;app32d;Educación;836.7397688008174;18979
33;app33p;Vídeo;804.5112220935883;36472
34;app34v;Cocina;168.89141425621514;430
35;app35q;Estilo de vida;614.3071256802065;12613
36;app36q;Vídeo;221.4098507076825;34028
37;app37f;Educación;892.1522493362194;19602
38;app38f;Vídeo;531.1637854499756;1136
39;app39j;Cocina;893.1674976209848;32620
40;app40b;Fotografía;310.62446941875544;28374
41;app41k;Estilo de vida;373.4597878448493;29143
42;app42n;Educación;153.57091569219045;27043
43;app43l;Juegos;999.5701359957367;37068
44;app44z;Finanazas;327.3433397744367;14856
45;app45d;Música;169.7238514113692;23861
46;app46o;Vídeo;569.768379611996;7165
47;app47y;Cocina;235.97712773029886;8520
48;app48e;Educación;493.9371896218288;39289
49;app49j;Productividad;244.1054556854639;48335
50;app50n;Productividad;1012.2619685861723;11288
